Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"Unpolarized capacitor, small symbol",C_Small,C1 C2,C_Small,C_0805_2012Metric,2, ,~
2,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x05,J2,Conn_01x05,UDPI_interface,1, ,~
3,USB Full-Featured Type-C Receptacle connector,USB_C_Receptacle,J1,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1, ,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
4,"Stereo, 24-Bit, 192 kHz, Multibit Sigma-Delta DAC, SSOP-28",AD1853,U3,AD1853,SSOP-28_5.3x10.2mm_P0.65mm,1, ,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1853.pdf
5,"20MHz, 16kB Flash, 2kB SRAM, 256B EEPROM, VQFN-20",ATtiny1616-M,U1,ATtiny1616-M,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny3216_ATtiny1616-data-sheet-40001997B.pdf





Project info:
Schematic:,design
Variant:,default
Revision:,<<hash>>
Date:,<<date>>
KiCad Version:,5.1.9+dfsg1-1~bpo10+1
Statistics:
Component Groups:,5
Component Count:,6
Fitted Components:,6
Number of PCBs:,1
Total Components:,6
